vigfile,vignette,category,correct_answer,choice1,choice2,choice3
carephys06,"""You see a boy setting a series of traps to kill stray cats in his __.""",Care-Phys,"""neighborhood""","""neighborhood""","""backyard""","""garage"""
carephys07,"""You see a girl throwing __ on a woman who is dating her ex-boyfriend.""",Care-Phys,"""her hot coffee""","""her hot coffee""","""her hot tea""","""a glass of wine"""
carephys08,"""You see a boy placing a thumbtack sticking up on the __ of another student.""",Care-Phys,"""chair""","""stool""","""seat""","""chair"""
carephys09,"""You see someone leaving his dog outside in the rain after it dug in the __.""",Care-Phys,"""trash""","""sandbox""","""vegetable garden""","""trash"""
carephys10,"""You see a woman spanking her child with a __ for getting bad grades in school.""",Care-Phys,"""spatula""","""spatula""","""rolling pin""","""wooden spoon"""
carephys11,"""You see a woman snatching away her dog's food for making a mess in the __.""",Care-Phys,"""living room""","""living room""","""bedroom""","""kitchen"""
carephys12,"""You see a woman throwing her cat across the room for __.""",Care-Phys,"""scratching the furniture""","""jumping on the bed""","""scratching the furniture""","""not using the litterbox"""
carephys13,"""You see a woman swerving her car in order to intentionally run over a __.""",Care-Phys,"""squirrel""","""squirrel""","""snake""","""possum"""
carephys14,"""You see a zoo trainer jabbing __ to get it to entertain his customers.""",Care-Phys,"""a dolphin""","""an elephant""","""a dolphin""","""a panda"""
carephys15,"""You see a woman throwing a stapler at her colleague who is __ during her talk.""",Care-Phys,"""snoring""","""snoring""","""laughing""","""whispering"""
fair01,"""You see a student copying a classmate's answer sheet on a makeup __.""",Fairness,"""final exam""","""quiz""","""final exam""","""midterm exam"""
fair02,"""You see a runner taking a shortcut on the course during the __ in order to win.""",Fairness,"""marathon""","""triathlon""","""relay race""","""marathon"""
fair03,"""You see a tenant bribing a landlord to be the first to get their apartment __.""",Fairness,"""repainted""","""remodeled""","""repainted""","""carpeted"""
fair04,"""You see a __ player pretending to be seriously fouled by an opposing player.""",Fairness,"""soccer""","""basketball""","""football""","""soccer"""
fair05,"""You see a __ intentionally making bad calls that help his favored team win.""",Fairness,"""referee""","""line judge""","""umpire""","""referee"""
fair06,"""You see a judge taking on __ case although he is friends with the defendant.""",Fairness,"""a criminal""","""a civil""","""an appeals""","""a criminal"""
fair07,"""You see a student getting an A on a group project when he didn't __.""",Fairness,"""do his part""","""do his part""","""deserve it""","""contribute anything"""
fair08,"""You see an employee lying about how many hours she worked __.""",Fairness,"""during the week""","""overtime""","""over the pay period""","""during the week"""
fair09,"""You see a woman getting hired only because her father __ with the boss.""",Fairness,"""is close friends""","""is close friends""","""went to college""","""plays golf"""
fair10,"""You see a girl asking for allowance even though her brother __ for her.""",Fairness,"""did her chores""","""cleaned her room""","""made her bed""","""did her chores"""
fair11,"""You see a girl taking all the Halloween candy from a __, leaving none for others.""",Fairness,"""bowl""","""dish""","""bowl""","""bag"""
fair12,"""You see a boy skipping to the front of the line because his friend is __.""",Fairness,"""an employee""","""a cashier""","""an employee""","""the manager"""
fair13,"""You see a woman lying about the number of __ days she has taken at work.""",Fairness,"""vacation""","""vacation""","""sick""","""personal"""
fair14,"""You see a professor giving a __ grade to a student just because he dislikes him.""",Fairness,"""bad""","""lower""","""bad""","""failing"""
fair15,"""You see a politician using federal tax dollars to build an extension on his __.""",Fairness,"""home""","""lake house""","""beach condo""","""home"""
lib01,"""You see a man telling his __ that she has to switch to his political party.""",Liberty,"""fiancee""","""wife""","""girlfriend""","""fiancee"""
lib02,"""You see a father requiring his son to become a __ like him.""",Liberty,"""commercial airline pilot""","""chemical engineer""","""corporate entrepreneur""","""commercial airline pilot"""
lib03,"""You see a man blocking his wife from leaving home or __.""",Liberty,"""interacting with others""","""having a job""","""interacting with others""","""watching the news"""
lib04,"""You see a manager coercing her employees into eating at her brother's __.""",Liberty,"""diner""","""diner""","""restaurant""","""café"""
lib05,"""You see a man telling his girlfriend that she must __.""",Liberty,"""convert to his religion""","""vote a certain way""","""quit her job""","""convert to his religion"""
lib06,"""You see a mother telling her son that she is going to choose all of his __ .""",Liberty,"""friends""","""friends""","""classes""","""outfits"""
lib07,"""You see a man forbidding his wife to __ that he has not first approved.""",Liberty,"""wear clothing""","""see movies""","""wear clothing""","""read books"""
lib08,"""You see a boss pressuring employees to buy __ from her family's general store.""",Liberty,"""goods""","""products""","""groceries""","""goods"""
lib09,"""You see a woman pressuring her daughter to become a famous __.""",Liberty,"""evening news anchor""","""evening news anchor""","""ice skater""","""ballet dancer"""
lib10,"""You see a public leader on TV trying to ban the wearing of __.""",Liberty,"""hooded sweatshirts""","""baggy pants""","""baseball caps""","""hooded sweatshirts"""
lib11,"""You see a mother forcing her daughter to enroll as a __ student in college.""",Liberty,"""pre-med""","""pre-med""","""pre-law""","""business"""
lib12,"""You see a father requiring his son to take up the family __ business.""",Liberty,"""restaurant""","""restaurant""","""mechanic""","""plumbing"""
lib13,"""You see a teacher ordering a student to __ before coming to class.""",Liberty,"""get a normal haircut""","""wipe her makeup off""","""cover up her tattoo""","""get a normal haircut"""
lib14,"""You see a teenager at a cafeteria forcing a younger student to__.""",Liberty,"""pay for her lunch""","""get her a soda""","""sit somewhere else""","""pay for her lunch"""
lib15,"""You see a mayor trying to ban people from __ in public in his city.""",Liberty,"""hugging and kissing""","""holding hands""","""singing songs""","""hugging and kissing"""
loy01,"""You see an employee joking with competitors about how bad his company did __.""",Loyalty,"""last year""","""this month""","""this quarter""","""last year"""
loy02,"""You see a __ celebrating with the opposing team's players who just won the game.""",Loyalty,"""coach""","""manager""","""player""","""coach"""
loy03,"""You see a former US __ saying publicly he would never buy any American product.""",Loyalty,"""general""","""president""","""general""","""congressman"""
loy04,"""You see a __ saying that the neighboring town is a much better town.""",Loyalty,"""mayor""","""city official""","""sheriff""","""mayor"""
loy05,"""You see __ joking in Great Britain about the stupidity of Americans.""",Loyalty,"""the US ambassador""","""the US ambassador""","""a US politician""","""a US diplomat"""
loy06,"""You see a man leaving his family business to go work __.""",Loyalty,"""for their main competitor""","""for a start-up""","""somewhere that pays better""","""for their main competitor"""
loy07,"""You see a teacher publicly saying she hopes another school wins the __.""",Loyalty,"""math contest""","""quiz bowl""","""math contest""","""science fair"""
loy08,"""You see a head cheerleader booing her __ team during a homecoming game.""",Loyalty,"""high school's""","""high school's""","""university's""","""college's"""
loy09,"""You see the class __ saying on TV that her rival college is a better school.""",Loyalty,"""president""","""president""","""secretary""","""treasurer"""
loy10,"""You see a Hollywood star agreeing with a foreign __ denunciation of the US.""",Loyalty,"""dictator's""","""dictator's""","""leader's""","""tyrant's"""
loy11,"""You see a college president singing a rival school's fight song during __.""",Loyalty,"""a pep rally""","""the homecoming game""","""the championship""","""a pep rally"""
loy12,"""You see an American telling foreigners that the US is __ force in the world.""",Loyalty,"""an evil""","""a negative""","""an evil""","""a destructive"""
loy13,"""You see the coach's wife __ for her husband's rival team.""",Loyalty,"""sponsoring a bake sale""","""cheering loudly""","""sponsoring a bake sale""","""raising money"""
loy14,"""You see a former Secretary of __ publicly giving up his citizenship to the US.""",Loyalty,"""State""","""Defense""","""State""","""Treasury"""
loy15,"""You see a US __ cheering as a Chinese foe beats his teammate to win the gold.""",Loyalty,"""swimmer""","""swimmer""","""wrestler""","""gymnast"""
pur01,"""You see a man having sex with a frozen chicken before __ for dinner.""",Purity,"""cooking it""","""heating it up""","""preparing it""","""cooking it"""
pur02,"""You see a family eating the carcass of their pet __ that had been run over.""",Purity,"""dog""","""kitten""","""dog""","""turtle"""
pur03,"""You see a drunk elderly man offering to __ with anyone at the bar.""",Purity,"""have oral sex""","""cuddle""","""make out""","""have oral sex"""
pur04,"""You see a teenager urinating in the wave pool at a crowded __ park.""",Purity,"""amusement""","""amusement""","""theme""","""water"""
pur05,"""You see a man in a bar using his __ to watch people having sex with animals.""",Purity,"""phone""","""iPad""","""phone""","""laptop"""
pur06,"""You see a teenage male in a dorm bathroom secretly using a stranger's __.""",Purity,"""toothbrush""","""razor""","""toothbrush""","""towel"""
pur07,"""You see a woman having intimate relations with a recently deceased __.""",Purity,"""loved one""","""stranger""","""loved one""","""close friend"""
pur08,"""You see a homosexual in a gay bar offering sex to anyone who __.""",Purity,"""buys him a drink""","""will drive him home""","""wants to have sex""","""buys him a drink"""
pur09,"""You see an employee at a morgue eating his __ pizza off of a dead body.""",Purity,"""pepperoni""","""sausage""","""pepperoni""","""cheese"""
pur10,"""You see a girl and her __ making out with each other just for practice.""",Purity,"""sister""","""sister""","""cousin""","""brother"""
pur11,"""You see a story about a remote tribe eating the __ of their deceased members.""",Purity,"""flesh""","""brains""","""eyes""","""flesh"""
pur12,"""You see a man searching through the trash to find women's discarded __.""",Purity,"""underwear""","""pantyhose""","""underwear""","""lingerie"""
pur13,"""You see __ getting married to each other in an elaborate wedding.""",Purity,"""two first cousins""","""two sisters""","""two first cousins""","""an uncle and niece"""
pur14,"""You see a very drunk woman making out with multiple strangers __.""",Purity,"""on the city bus""","""at the subway stop""","""on the city bus""","""at the gas station"""
pur15,"""You see a __ drinking until she vomits on herself and falls asleep.""",Purity,"""college student""","""teenager""","""college student""","""high schooler"""
socnorm01,"""You see someone using an old __ and refusing to go buy a new one.""",Social-Norms,"""rotary phone""","""rotary phone""","""laptop""","""printer"""
socnorm02,"""You see a man staying inside his home with the __ on a rare sunny day.""",Social-Norms,"""shades drawn""","""curtains closed""","""shades drawn""","""lights off"""
socnorm03,"""You see a woman drinking her entire cup of __ using a stirring spoon.""",Social-Norms,"""coffee""","""tea""","""coffee""","""cocoa"""
socnorm04,"""You see a woman __ before her main entree arrives on the table.""",Social-Norms,"""eating dessert""","""paying for her meal""","""having a breath mint""","""eating dessert"""
socnorm05,"""You see a woman continuing to wear a __ inside her apartment complex.""",Social-Norms,"""large sun hat""","""large sun hat""","""big shady visor""","""pair of sunglasses"""
socnorm06,"""You see someone at the __ lifting free weights in nice business clothes.""",Social-Norms,"""school gym""","""rec center""","""health club""","""school gym"""
socnorm07,"""You see a man eating a bowl of cereal in the morning with __ instead of milk.""",Social-Norms,"""water""","""orange juice""","""water""","""creamer"""
socnorm08,"""You see a woman using a fork to eat a bowl of __ ice cream and marshmallows.""",Social-Norms,"""vanilla""","""vanilla""","""strawberry""","""chocolate"""
socnorm09,"""You see a man putting __ all over his chicken Caesar salad while at lunch.""",Social-Norms,"""ketchup""","""mayonnaise""","""mustard""","""ketchup"""
socnorm10,"""You see a man walking down a dark __ while still wearing his sunglasses.""",Social-Norms,"""hallway""","""alley""","""hallway""","""staircase"""
socnorm11,"""You see someone driving around in a dirty __ that has not been washed recently.""",Social-Norms,"""car""","""car""","""minivan""","""sedan"""
socnorm12,"""You see a woman watching __ on television in black-and-white instead of color.""",Social-Norms,"""a game""","""the news""","""the soap opera""","""a game"""
socnorm13,"""You see someone reading the ending of a __ novel before reading the beginning.""",Social-Norms,"""spy""","""spy""","""mystery""","""fantasy"""
socnorm14,"""You see a teenage girl wearing a long __ on a hot summer afternoon.""",Social-Norms,"""trench coat""","""trench coat""","""bath robe""","""wool coat"""
socnorm15,"""You see a woman __ with the word ""goodbye"" instead of ""hello.""""",Social-Norms,"""answering a phone call""","""beginning a letter""","""typing an e-mail""","""answering a phone call"""
auth16,"""You see a __ calling the president a nasty name in the middle of a speech.""",Lure-Auth,"""reporter""","""reporter""","""bystander""","""newscaster"""
auth17,"""You see a girl rolling her eyes as her father tells her to __.""",Lure-Auth,"""do her homework""","""do her homework""","""clean her room""","""eat her vegetables"""
auth18,"""You see a man being openly rude to a police officer he passes __.""",Lure-Auth,"""on the sidewalk""","""on his bike""","""at a crosswalk""","""on the sidewalk"""
auth19,"""You see a player questioning the __ of his coach during a team practice.""",Lure-Auth,"""competence""","""athleticism""","""intelligence""","""competence"""
auth20,"""You see a student talking back to the __ in front of the classroom.""",Lure-Auth,"""principal""","""principal""","""teacher""","""superintendent"""
auth21,"""You see a young adult openly refusing to follow __ dress code.""",Lure-Auth,"""her school's""","""her workplace's""","""her school's""","""her religion's"""
auth22,"""You see children ignoring their __ orders to get ready to go to school.""",Lure-Auth,"""mom's""","""mom's""","""grandmother's""","""dad's"""
auth23,"""You see someone giving the finger to the __ back is turned.""",Lure-Auth,"""boss, while the boss's""","""dentist, while the dentist's""","""policeman, while the policeman's""","""boss, while the boss's"""
careemo16,"""You see a boy laughing at another student for his poor score on __.""",Lure-Care-Emo,"""the final exam""","""his report card""","""the final exam""","""the standardized test"""
careemo17,"""You see a brother kicking his sister's __ that took many hours to build.""",Lure-Care-Emo,"""sandcastle""","""sandcastle""","""house of cards""","""Lego tower"""
careemo18,"""You see a teenage girl at __ mocking a man's stuttering speech.""",Lure-Care-Emo,"""the local mall""","""the local mall""","""a café""","""the post office"""
careemo19,"""You see a woman insulting a severely obese man who is sitting in the __.""",Lure-Care-Emo,"""park""","""park""","""doctor's office""","""airport"""
careemo20,"""You see a woman laughing out loud about a young man's __.""",Lure-Care-Emo,"""receding hairline""","""receding hairline""","""graying hair""","""bald spot"""
careemo21,"""You see a woman squeezing a baby's __ hard because it will not stop crying.""",Lure-Care-Phys,"""arm""","""foot""","""shoulder""","""arm"""
careemo22,"""You see a woman telling a group of homeless people on the __ to go find jobs.""",Lure-Care-Emo,"""subway""","""curb""","""street""","""subway"""
careemo23,"""You see a young boy teasing another boy because his father recently __.""",Lure-Care-Emo,"""passed away""","""divorced his mother""","""was deployed overseas""","""passed away"""
careemo24,"""You see boys making fun of a girl's tattered clothes as she __.""",Lure-Care-Emo,"""boards the bus""","""sits at her desk""","""enters the lunchroom""","""boards the bus"""
carephys16,"""You see a boy tripping a classmate in order to be the first __.""",Lure-Care-Phys,"""in the cafeteria line""","""on the schoolbus""","""out on the playground""","""in the cafeteria line"""
carephys17,"""You see a man elbowing someone as he struggles to get __ quickly.""",Lure-Care-Phys,"""off the plane""","""out the door""","""off the plane""","""out of the elevator"""
carephys18,"""You see a man purposely stepping hard on the foot of someone who __ .""",Lure-Care-Phys,"""is in his way""","""is in his way""","""got on his nerves""","""took his seat"""
carephys19,"""You see a man pushing someone to the ground while trying to __.""",Lure-Care-Phys,"""catch a foul ball""","""see the band""","""catch a foul ball""","""see the parade"""
carephys20,"""You see a woman accidentally knocking over a child while __ on her cell phone.""",Lure-Care-Phys,"""talking""","""playing a game""","""talking""","""texting"""
carephys21,"""You see a woman driving recklessly through a school zone to __.""",Lure-Care-Phys,"""make a meeting""","""get to a luncheon""","""make a meeting""","""make an appointment"""
carephys22,"""You see a woman tripping someone in order to get the last __ in her size.""",Lure-Care-Phys,"""shirt""","""pair of shoes""","""shirt""","""jacket"""
fair16,"""You see a __ taking all the tips that are supposed to be shared among employees.""",Lure-Fair,"""barista""","""waiter""","""bartender""","""barista"""
fair17,"""You see a man moving multiple __ pieces while his opponent is distracted.""",Lure-Fair,"""chess""","""checkers""","""backgammon""","""chess"""
fair18,"""You see a teenage boy offering his classmate money to write his __.""",Lure-Fair,"""history essay""","""book report""","""history essay""","""biology paper"""
fair19,"""You see a woman buying herself an expensive __ with a stolen credit card.""",Lure-Fair,"""necklace""","""necklace""","""pair of earrings""","""bracelet"""
fair20,"""You see a woman collecting child support for a __ who no longer lives with her.""",Lure-Fair,"""girl""","""girl""","""child""","""teenager"""
fair21,"""You see a woman happily admitting that she has not paid any taxes in over __ years.""",Lure-Fair,"""ten""","""two""","""five""","""ten"""
fair22,"""You see a woman taking credit at work for an idea she overheard __.""",Lure-Fair,"""at lunch""","""in the break room""","""in the hall""","""at lunch"""
fair23,"""You see an employee receiving __ for work that was really done by others.""",Lure-Fair,"""a bonus""","""praise""","""an award""","""a bonus"""
lib16,"""You see a __ trying to ban student dances held at public schools.""",Lure-Lib,"""community leader""","""community leader""","""city councilman""","""PTA member"""
lib17,"""You see a boss requiring that she gets access to her employees' __ accounts.""",Lure-Lib,"""Facebook""","""Twitter""","""Facebook""","""Gmail"""
lib18,"""You see a man refusing to allow his daughter to participate in any __.""",Lure-Lib,"""type of sports""","""type of sports""","""co-ed activities""","""after school clubs"""
lib19,"""You see a mother preventing her teenage son from wearing __ clothes to school.""",Lure-Lib,"""pink""","""purple""","""pink""","""lavender"""
lib20,"""You see a professor forcing all her students to write papers supporting her __.""",Lure-Lib,"""views""","""theories""","""views""","""beliefs"""
lib21,"""You see a teacher ordering a student to go __ for having a weird hairstyle.""",Lure-Lib,"""to detention""","""to detention""","""to the principal's office""","""home"""
lib22,"""You see a teenage girl forbidding friends from ever disagreeing with her __.""",Lure-Lib,"""in public""","""in public""","""on Facebook""","""about fashion"""
lib23,"""You see the head of a law firm ordering her juniors to __ every day.""",Lure-Lib,"""shine her shoes""","""wash her car""","""shine her shoes""","""get her coffee"""
loy16,"""You see a Brazilian at the World Cup cheering for __ to win every medal.""",Lure-Loy,"""Germany""","""Britain""","""Portugal""","""Germany"""
loy17,"""You see a campaign manager cheering as an opponent pulls ahead to win the __.""",Lure-Loy,"""election""","""race""","""popular vote""","""election"""
loy18,"""You see a girl quitting her father's __ team to play for their biggest rival.""",Lure-Loy,"""soccer""","""baseball""","""basketball""","""soccer"""
loy19,"""You see a principal publicly wishing that a rival school wins __.""",Lure-Loy,"""a prestigious grant""","""the tournament""","""the choir competition""","""a prestigious grant"""
loy20,"""You see a track coach quitting in the middle of the season after __.""",Lure-Loy,"""winning the lottery""","""marrying a wealthy man""","""inheriting lots of money""","""winning the lottery"""
loy21,"""You see a wife turning in her husband to the police for __.""",Lure-Loy,"""overdue parking fines""","""littering on the sidewalk""","""illegal music downloads""","""overdue parking fines"""
loy22,"""You see a woman laughing with her friend about __ of her family members.""",Lure-Loy,"""the poor taste""","""the silly traditions""","""the poor taste""","""embarrassing stories"""
loy23,"""You see an American __ publicly defecting to Iran for a large sum of money.""",Lure-Loy,"""celebrity""","""celebrity""","""talk show host""","""newscaster"""
pur16,"""You see a drug addict offering to provide any service for __.""",Lure-Pure,"""a bump of cocaine""","""a hit of heroin""","""an ounce of meth""","""a bump of cocaine"""
pur17,"""You see a man fulfilling a deceased stranger's request by eating some of his __.""",Lure-Pure,"""flesh""","""skin""","""flesh""","""hair"""
pur18,"""You see a man spending several hours at a strip club every day right after __.""",Lure-Pure,"""work""","""class""","""work""","""dinner"""
pur19,"""You see a mother who is still breast-feeding her needy __.""",Lure-Pure,"""eight year old""","""nine year old""","""seven year old""","""eight year old"""
pur20,"""You see a teenage girl drinking a _ of her friend's urine on a dare.""",Lure-Pure,"""cup""","""mug""","""cup""","""bottle"""
pur21,"""You see a very drunk woman dancing on a table while men laugh and __.""",Lure-Pure,"""cheer her on""","""cheer her on""","""take pictures""","""buy her drinks"""
pur22,"""You see a woman having sex with an extremely obese man in exchange for __.""",Lure-Pure,"""fifteen dollars""","""twenty-five dollars""","""fifteen dollars""","""twenty dollars"""
socnorm16,"""You see a customer greeting every stranger she sees while __.""",Lure-SN,"""in a coffee shop""","""in a coffee shop""","""sitting at the bar""","""waiting in the lobby"""
socnorm17,"""You see a man entering __ while still wearing all his work clothes.""",Lure-SN,"""a hot tub""","""the shower""","""a swimming pool""","""a hot tub"""
socnorm18,"""You see a man walking down the street wearing a neon green suit with __.""",Lure-SN,"""a top hat""","""cowboy boots""","""a long cape""","""a top hat"""
socnorm19,"""You see a man wearing __ with socks that clearly do not match each other.""",Lure-SN,"""a suit""","""a suit""","""sandals""","""pants"""
socnorm20,"""You see a teenage woman carrying an open umbrella on a cloudless day in __.""",Lure-SN,"""October""","""November""","""October""","""September"""
socnorm21,"""You see a teenager wearing all of their clothes inside out while __.""",Lure-SN,"""at a movie theater""","""at the mall""","""at a movie theater""","""at the library"""
socnorm22,"""You see a woman with __ hair riding a unicycle to work every day.""",Lure-SN,"""blue and orange""","""green and black""","""purple and pink""","""blue and orange"""
socnorm23,"""You see someone wearing a __ costume on a day that is not Halloween.""",Lure-SN,"""superhero""","""superhero""","""zombie""","""pirate"""
